"Scan Date","Scan Method","Scan Source","Visibility","Submitter","Scan URL","Task URL","Task Domain","Task Apex Domain","Task Tags","Page Country","Page IP","Page PTR Record","Page ASN","Page AS Name","Page Server","Page URL","Page Domain","Page Apex Domain","Malicious","Brands","Labels"
"2025-08-18T10:11:02.506Z","api","","public","at","https://urlscan.io/result/0198bca8-f94c-7347-a834-404d33bc5013/","http://gamasullocadora.com.br/","gamasullocadora.com.br","gamasullocadora.com.br","","US","192.185.212.129","br34-ip04.hostgator.com.br","AS19871","NETWORK-SOLUTIONS-HOSTING, US","Apache","https://gamasullocadora.com.br/","gamasullocadora.com.br","gamasullocadora.com.br","false","","visual.person"
"2025-08-18T10:08:17.521Z","api","","public","at","https://urlscan.io/result/0198bca6-7322-735b-85fd-91502bc1da0c/","http://hackeandosuasaude.com.br/","hackeandosuasaude.com.br","hackeandosuasaude.com.br","","","104.21.58.104","","AS13335","CLOUDFLARENET, US","cloudflare","https://hackeandosuasaude.com.br/","hackeandosuasaude.com.br","hackeandosuasaude.com.br","false","","visual.person,content.login,hosting.cdn"
"2025-08-18T10:07:46.487Z","api","","public","at","https://urlscan.io/result/0198bca6-0ba6-742b-b491-7d7c324567cd/","http://tae.com.uy/","tae.com.uy","tae.com.uy","","CA","54.39.143.244","wo40.wiroos.host","AS16276","OVH OVH SAS, FR","LiteSpeed","https://tae.com.uy/","tae.com.uy","tae.com.uy","false","",""
"2025-08-18T06:34:55.016Z","manual","","public","br","https://urlscan.io/result/0198bbe3-3beb-71e1-9265-df3d6dac987b/","http://invistaemcataguases.com.br/venda-para-o-municipio/emissao-de-certidoes/","invistaemcataguases.com.br","invistaemcataguases.com.br","","BR","62.72.62.23","","AS47583","AS-HOSTINGER Hostinger International Limited, CY","LiteSpeed","https://invistaemcataguases.com.br/venda-para-o-municipio/emissao-de-certidoes/","invistaemcataguases.com.br","invistaemcataguases.com.br","false","",""
"2025-08-17T02:07:30.413Z","api","","public","sg","https://urlscan.io/result/0198b5c7-cf75-736a-8755-f854bc1242dc/","http://drapatriciachagas.com.br/","drapatriciachagas.com.br","drapatriciachagas.com.br","","BR","191.6.222.165","wp10f19.kinghost.net","AS28299","CYBERWEB NETWORKS LTDA, BR","nginx/1.26.3","https://drapatriciachagas.com.br/","drapatriciachagas.com.br","drapatriciachagas.com.br","false","",""
"2025-08-16T23:50:55.759Z","api","","unlisted","us","https://urlscan.io/result/0198b54a-e2e4-73a9-8329-909d2ce0a556/","https://mribeirocorretora.com.br/","mribeirocorretora.com.br","mribeirocorretora.com.br","","US","50.116.87.209","50-116-87-209.unifiedlayer.com","AS19871","NETWORK-SOLUTIONS-HOSTING, US","Apache","https://mribeirocorretora.com.br/","mribeirocorretora.com.br","mribeirocorretora.com.br","false","","visual.person"
"2025-08-16T19:39:37.031Z","api","","public","gb","https://urlscan.io/result/0198b464-e979-701d-8bee-8f55a08dcdcb/","https://creativepackout.co/","creativepackout.co","creativepackout.co","","US","50.87.188.202","box2329.bluehost.com","AS46606","UNIFIEDLAYER-AS-1, US","nginx/1.25.5","https://creativepackout.co/","creativepackout.co","creativepackout.co","false","",""
"2025-08-15T06:02:00.542Z","api","","public","ye","https://urlscan.io/result/0198ac52-040a-724d-bee4-9df54efa1b92/","https://creativepackout.co/","creativepackout.co","creativepackout.co","","US","50.87.188.202","box2329.bluehost.com","AS46606","UNIFIEDLAYER-AS-1, US","nginx/1.25.5","https://creativepackout.co/","creativepackout.co","creativepackout.co","false","",""
"2025-08-15T02:48:03.401Z","api","","public","in","https://urlscan.io/result/0198aba0-739f-737a-93c1-20faba1a922d/","https://creativepackout.co/","creativepackout.co","creativepackout.co","","US","50.87.188.202","box2329.bluehost.com","AS46606","UNIFIEDLAYER-AS-1, US","nginx/1.25.5","https://creativepackout.co/","creativepackout.co","creativepackout.co","false","",""
"2025-08-15T02:00:05.152Z","api","","public","vn","https://urlscan.io/result/0198ab74-873d-76ed-bfb5-f5519b590571/","https://creativepackout.co/","creativepackout.co","creativepackout.co","","US","50.87.188.202","box2329.bluehost.com","AS46606","UNIFIEDLAYER-AS-1, US","nginx/1.25.5","https://creativepackout.co/","creativepackout.co","creativepackout.co","false","",""
